yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten,modified
50,AD 50,,50,AD,,,"Second Missionary Journey begins,Timothy Joins Paul and Silas,""Mission to Phrygia, Galatia and Asia"",Call to Macedonia,Lydia's Conversion,Paul casts demon out of soothsayer,Paul and Silas imprisoned,Philippian jailer converted,Paul and Silas released,Uproar in Thessalonica",Matt,2019-07-22 00:52
51,AD 51,,51,AD,,,"Mission to Berea,Paul preaches in Athens,""Mission to Corinth, 1&2 Thess Written""","1Thess,2Thess",2019-07-22 00:52
52,AD 52,,52,AD,,,Return from Second Missionary Journey,,2019-07-22 00:52
53,AD 53,,53,AD,,,"Third Missionary Journey Begins,Mission to Ephesus/1 Cor Written",,2019-07-22 00:52
54,AD 54,,54,AD,,,,,2019-07-22 00:52
56,AD 56,,56,AD,,,"Riot in Ephesus,Mission to Macedonia and Greece","1Cor,2Cor",2019-07-22 00:52
57,AD 57,,57,AD,,,"Eutychus revived,Voyage to Miletus,Paul speaks to Ephesian Elders,Voyage from Miletus to Jerusalem,Paul visits elders in Jerusalem,Paul sent to Felix,Mission to Macedonia and Greece,Paul arrested in the Temple,Paul gives his testimony,Paul goes before the Council,The conspiracy to kill Paul","Rom,Luke",2020-05-24 00:51
58,AD 58,,58,AD,,,Paul sent to Felix,,2020-05-24 00:51
59,AD 59,,59,AD,,,"Paul appeals to Caesar,Journey to Rome begins,Paul is shipwrecked by a storm,Agrippa and Bernice meet Festus,Paul goes before Agrippa",,2020-05-24 00:51
60,AD 60,,60,AD,,,"Paul arrives at Rome,Paul's First Roman imprisonment,Paul stays at Malta",,2019-07-22 00:52
61,AD 61,,61,AD,,,Paul's First Roman imprisonment,"Acts,Eph,Phil,Col,Phlm",2019-07-22 00:52
62,AD 62,,62,AD,,,Paul's First Roman imprisonment,,2019-07-22 00:52
63,AD 63,,63,AD,,,,"1Tim,Titus",2019-07-22 00:52
64,AD 64,,64,AD,,,,1Pet,2019-07-22 00:52
66,AD 66,,66,AD,,,,2Tim,2019-07-22 00:52
67,AD 67,,67,AD,,,,"Heb,2Pet,Mark",2019-07-22 00:52
1821,AD 1821,,1821,AD,,,,,2019-07-22 00:52
-4003,4003 BC,,-4002,BC,cain_533,,,,2020-05-15 01:08
-3875,3875 BC,,-3874,BC,,,"Cain kills Abel,God curses Cain",,2020-05-15 01:18
-3874,3874 BC,,-3873,BC,seth_2504,,,,2020-05-15 01:43
-2446,2446 BC,,-2445,BC,shem_2613,,,,2020-05-15 02:00
