"PersonID","Alias"
"1007","Demetrius"
"1008","Diana"
"1009","Diblaim"
"1010","Dibri"
"1011","Diklah"
"1012","Dinah"
"1013","Dionysius"
"1014","Diotrephes"
"1015","Dishan"
"1016","Dishon"
"1017","Dishon"
"1018","Dodanim"
"1019","Dodavah"
"1020","Dodo"
"1021","Dodo"
"1022","Dodo"
"1023","Doeg"
"1024","Drusilla"
"1025","Dumah"
"1026","Ebal"
"1027","Ebed"
"1028","Ebed"
"1030","Eber"
"1031","Eber"
"1032","Eber"
"1033","Eden"
"1034","Eden"
"1035","Eder"
"1036","Eglah"
"1037","Eglon"
"1038","Ehi"
"1039","Ehud"
"1040","Ehud"
"1041","Eker"
"1042","Eladah"
"1043","Elah"
"1044","Elah"
"1045","Elah"
"1046","Elah"
"1047","Elah"
"1048","Elah"
"1049","Elam"
"1050","Elam"
"1051","Elam"
"1052","Elam"
"1053","Elam"
"1054","Elam"
"1055","Elasah"
"1056","Elasah"
"1057","Eldaah"
"1058","Eldad"
"1059","Elead"
"1060","Eleasah"
"1061","Eleasah"
"1062","Eleazar"
"1063","Eleazar"
"1064","Eleazar"
"1065","Eleazar"
"1066","Eleazar"
"1067","Eleazar"
"1068","Eleazar"
"1069","Eleazar"
"1070","Elhanan"
"1071","Elhanan"
"1072","Eli"
"1073","Eliab"
"1074","Eliab"
"1075","Eliab"
"1076","Eliab"
"1077","Eliab"
"1078","Eliada"
"1079","Eliada"
"1080","Eliadah"
"1081","Eliah"
"1082","Eliah"
"1083","Eliahba"
"1084","Eliakim"
"1085","Eliakim"
"1086","Eliakim"
"1087","Eliakim"
"1088","Eliakim"
"1089","Eliam"
"1090","Eliam"
"1091","Eliasaph"
"1092","Eliasaph"
"1093","Eliashib"
"1094","Eliashib"
"1095","Eliashib"
"1096","Eliashib"
"1097","Eliashib"
"1098","Eliashib"
"1099","Eliashib"
"1100","Eliashib"
"1101","Eliashib"
"1102","Eliathah"
"1103","Elidad"
"1104","Eliel"
"1105","Eliel"
"1106","Eliel"
"1107","Eliel"
"1108","Eliel"
"1109","Eliel"
"1110","Eliel"
"1111","Eliel"
"1112","Elienai"
"1113","Eliezer"
"1114","Eliezer"
"1115","Eliezer"
"1116","Eliezer"
"1117","Eliezer"
"1118","Eliezer"
"1119","Eliezer"
"1120","Eliezer"
"1121","Eliezer"
"1122","Eliezer"
"1123","Eliezer"
"1124","Elihoenai"
"1125","Elihoreph"
"1126","Elihu"
"1127","Elihu"
"1128","Elihu"
"1129","Elihu"
"1130","Elihu"
"1131","Elijah"
"1132","Elijah"
"1133","Elika"
"1134","Elimelech"
"1135","Elioenai"
"1136","Elioenai"
"1137","Elioenai"
"1138","Elioenai"
"1139","Elioenai"
"1140","Elioenai"
"1141","Elioenai"
"1142","Eliphal"
"1143","Eliphalet"
"1144","Eliphaz"
"1145","Eliphaz"
"1146","Elipheleh"
"1147","Eliphelet"
"1148","Eliphelet"
"1149","Eliphelet"
"1150","Eliphelet"
"1151","Eliphelet"
"1152","Elisabeth"
"1153","Elisha"
"1154","Elishah"
"1155","Elishama"
"1156","Elishama"
"1157","Elishama"
"1158","Elishama"
"1159","Elishama"
"1160","Elishama"
"1161","Elishaphat"
"1162","Elisheba"
"1163","Elishua"
"1164","Eliud"
"1165","Elizaphan"
"1166","Elizur"
"1167","Elkanah"
"1168","Elkanah"
"1169","Elkanah"
"1170","Elkanah"
"1171","Elkanah"
"1172","Elkanah"
"1173","Elkanah"
"1174","Elkanah"
"1175","Elmodam"
"1176","Elnaam"
"1177","Elnathan"
"1178","Elnathan"
"1179","Elnathan"
"1180","Elnathan"
"1181","Elnathan"
"1182","Elon"
"1183","Elon"
"1184","Elon"
"1185","Elpaal"
"1186","Eluzai"
"1187","Elzabad"
"1188","Elzabad"
"1189","Elzaphan"
"1190","Enan"
"1191","Enoch"
"1192","Enoch"
"1193","Enos"
"1194","Epaenetus"
"1195","Epaphras"
"1196","Epaphroditus"
"1197","Ephah"
"1198","Ephah"
"1199","Ephah"
"1200","Ephai"
"1201","Epher"
"1202","Epher"
"1203","Epher"
"1204","Ephlal"
"1205","Ephod"
"1206","Ephraim"
"1207","Ephrath"
"1208","Ephron"
"1209","Er"
"1210","Er"
"1211","Er"
"1212","Eran"
"1213","Erastus"
"1214","Eri"
"1216","Esau"
"1217","Eshban"
"1218","Eshcol"
"1219","Eshtemoa"
"1220","Eshton"
"1221","Esli"
"1222","Ethan"
"1223","Ethan"
"1224","Ethan"
"1225","Ethbaal"
"1226","Ethnan"
"1227","Eubulus"
"1228","Eunice"
"1229","Euodias"
"1230","Eutychus"
"1231","Eve"
"1232","Evi"
"1234","Ezbai"
"1235","Ezbon"
"1236","Ezbon"
"1237","Ezekiel"
"1238","Ezer"
"1239","Ezer"
"1240","Ezer"
"1241","Ezer"
"1242","Ezer"
"1243","Ezer"
"1244","Ezra"
"1245","Ezra"
"1246","Ezra"
"1247","Ezri"
"1248","Father of Barnabas and Mary"
"1249","Father of Cononiah and Shimei"
"1250","Father of Hilkiah and Shallum"
"1251","Father of Hodiah and Naham"
"1252","Father of Mamre and Eshcol and Aner"
"1253","Father of Martha and Mary and Lazarus"
"1254","Father of Nathan and Joel"
"1255","Father of Shelomith and Haziel and Haran"
"1256","Father of Tahpenes"
"1257","Felix"
"1258","Fortunatus"
"1259","Gaal"
"1260","Gabbai"
"1261","Gabriel"
"1262","Gad"
"1263","Gad"
"1264","Gaddi"
"1265","Gaddiel"
"1266","Gadi"
"1267","Gaham"
"1268","Gahar"
"1269","Gaius"
"1270","Gaius"
"1271","Gaius"
"1272","Gaius"
"1273","Galal"
"1274","Galal"
"1275","Gallio"
"1276","Gamaliel"
"1277","Gamaliel"
"1278","Gamul"
"1279","Gareb"
"1280","Garmite"
"1281","Gatam"
"1282","Gazez"
"1283","Gazez"
"1284","Gazzam"
"1285","Geber"
"1286","Geber"
"1287","Gedaliah"
"1288","Gedaliah"
"1289","Gedaliah"
"1290","Gedaliah"
"1291","Gedaliah"
"1292","Gedor"
"1293","Gehazi"
"1294","Gemalli"
"1295","Gemariah"
"1296","Gemariah"
"1297","Genubath"
"1298","Gera"
"1299","Gera"
"1300","Gera"
"1301","Gera"
"1302","Gershom"
"1303","Gershom"
"1304","Gershom"
"1305","Gershon"
"1306","Gesham"
"1307","Geshem"
"1308","Gether"
"1309","Geuel"
"1310","Gibbar"
"1311","Giddalti"
"1312","Giddel"
"1313","Giddel"
"1314","Gideon"
"1315","Gideoni"
"1316","Gilalai"
"1317","Gilead"
"1318","Gilead"
"1319","Gilead"
"1320","Ginath"
"1321","Ginnethon"
"1322","Girgasite"
"1323","Gispa"
"1324","God"
"1325","Gog"
"1326","Gog"
"1327","Goliath"
"1328","Gomer"
"1329","Gomer"
"1330","Guni"
"1331","Guni"
"1332","Haahashtari"
"1333","Habaiah"
"1334","Habakkuk"
"1335","Habaziniah"
"1336","Hachaliah"
