"PlaceMarkID","Latitude","Longitude","Label"
"547","38.34","28.51","Philadelphia"
"548","38.44","26.06","Chios"
"549","38.45","27.16","Smyrna"
"550","38.47","28.11","Sardis"
"551","38.92","27.85","Thyatira"
"552","39.02","20.73","Nicopolis"
"553","39.1","26.55","Mitylene"
"554","39.11","27.16","Pergamum"
"555","39.23","32.73","Asia"
"556","39.48","26.33","Assos"
"557","39.5","26.08","Troas"
"558","39.57","26.93","Adramyttium"
"559","39.7","44.29","Ararat"
"560","40.06","45.03","Beth-togarmah"
"561","40.46","25.48","Samothrace"
"562","40.48","-3.17","Spain"
"563","40.51","22.2","Berea"
"564","40.58","23.35","Apollonia"
"565","40.6","44.6","Minni"
"566","40.63","22.93","Thessalonica"
"567","40.82","23.83","Amphipolis"
"568","40.83","14.26","Puteoli"
"569","40.9","37.79","Tubal"
"570","40.9","30.68","Bithynia"
"571","40.94","24.41","Neapolis"
"572","41.01","24.28","Philippi"
"573","41.46","12.99","ForumAppius"
"574","41.59","12.82","Three Taverns"
"575","41.9","12.48","Rome"
"576","42.41","16.37","Adriatic Sea"
"577","43.51","16.07","Illyricum"
"578","46.0","47.0","Meshech"
